,state,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,aggregation_level,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,close_public_transit,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,confirmed_cases,deaths,stringency_index
0,Alabama,2020-02-15,5.0,2.0,39.0,7.0,2.0,-1.0,1,5.916667,-1.8,15.622222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
1,Alabama,2020-02-16,0.0,-2.0,-7.0,3.0,-1.0,1.0,1,9.2,5.022222,13.35,0.987778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
2,Alabama,2020-02-17,3.0,0.0,17.0,7.0,-17.0,4.0,1,11.672222,8.422222,16.572222,2.0574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
3,Alabama,2020-02-18,-4.0,-3.0,-11.0,-1.0,1.0,2.0,1,16.155556,13.161110999999998,21.672222,14.421556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
4,Alabama,2020-02-19,4.0,1.0,6.0,4.0,1.0,0.0,1,14.644444,11.455556,20.588889,32.370889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
5,Alabama,2020-02-20,-7.0,-6.0,-25.0,-1.0,0.0,3.0,1,10.044444,6.066667,12.677778,9.934222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
6,Alabama,2020-02-21,3.0,0.0,12.0,9.0,1.0,0.0,1,4.966667,0.633333,9.861111,29.520444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
7,Alabama,2020-02-22,5.0,4.0,46.0,13.0,6.0,-1.0,1,4.227778,-2.927778,13.538889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
8,Alabama,2020-02-23,3.0,2.0,24.0,16.0,2.0,0.0,1,6.633333,-0.033333,13.488889000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
9,Alabama,2020-02-24,-2.0,-3.0,-13.0,2.0,-2.0,2.0,1,10.805556,7.916666999999999,14.316667,0.8748889999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
10,Alabama,2020-02-25,7.0,3.0,27.0,7.0,-1.0,0.0,1,15.716667,12.088889,17.694444,12.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
11,Alabama,2020-02-26,16.0,5.0,7.0,11.0,0.0,-1.0,1,9.711111,5.9,15.5,0.395111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.56
