the_geom,cartodb_id,state_fips,state_name,county,housing_un,fips,county_fip,updated_at,created_at
0106000020E610000001000000010300000001000000080000002C7A4AB3D56252C099DF8819C2AE4440C92B9390B87E52C083875A5393A94440F6FAAA0B1D7D52C08DBDBF92CFB24440AF17740ECC7E52C0C58AD4F245B84440AE994C266C7B52C0B102C1D1D5BE4440B112E538AC6552C0E8AA1DB266C34440B0BDA6F1F16152C00C6F6853E9C244402C7A4AB3D56252C099DF8819C2AE4440,27,36,New York,Putnam,,36079,79,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000E000000CB46D4E4608152C0AD0A1416D47E4640FFAF1AA3C47F52C09F1772B09E59464058693082B67D52C029E0266E8F594640D8C7BEA8487A52C08D3FF64C5B364640F245296CA68852C02442AA50423346409C98CF81E28552C026DA65119A11464047680204D39152C0E383877A2D0F4640C88E278D51A252C00D284EDB460C4640C86753D568A352C08863B37BF713464057AC961228A252C026A723DBC6164640AACA20F384A952C026580213F67846409D67FD0CC5AD52C0D55868C335794640094535631CAF52C08D40D1E0177F4640CB46D4E4608152C0AD0A1416D47E4640,1,36,New York,Franklin,,36033,33,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000007000000A720FDD8D89D53C05DD709EBA3904540F3ACDAE2BC9D53C03886217C9DAF45404A5ABA147D7F53C0CA58FF0CCBAE45405E1AA6CB697F53C01D01595ACC904540300F9EDAEF8753C098A37674CB904540C39F145BF48753C00777935460914540A720FDD8D89D53C05DD709EBA3904540,41,36,New York,Orleans,,36073,73,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000001400000024AFFB7D637952C01A7100D3CF7F4440AD73961F087952C04B9E6BEBF08744402B6060239C7952C0010B5CA14792444032F8B508537B52C0946BDE5AD89844404C18EFCFF07D52C0BF68DDF4F19E44405EFA84B02C7E52C0F46DBDB353A14440A57CCC0D1E7D52C0EBF1D19364A54440C92B9390B87E52C083875A5393A944402C7A4AB3D56252C099DF8819C2AE4440334B4C74376352C03AE12E5D95A54440A9FDE087995E52C0DB931704FA9A44403E182A4B6A6E52C00B721868D88C4440F553409CD66952C0132668719D814440FE90B83BCD6952C01920F952CB7F444024381C32EC7152C0CF0ED4047F71444096394BF7C47452C0C27F3D83457244406F938F789F7552C0A03DB5803F74444060C5A2802C7A52C09AC5213DB27644407CEC937E5A7952C06B2CAFD8FD7A444024AFFB7D637952C01A7100D3CF7F4440,28,36,New York,Westchester,,36119,119,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000013000000B640B7C9E37152C03435EDCFEA3A4540B3EC5A57089052C050374763DF33454027665774EC8F52C0A1D979949239454077EB206EB38E52C09EFCB66508404540C71E45E61B8F52C0B88CDFC1054645408FE06C0A6D8A52C0D49988DF76544540B7EC31A2088A52C03B0E6ABCB05A454068E24F60798B52C09B45B739305D4540072014839F7452C060FE0FAA3D6345402C08F261E77352C066D2C36A1063454082DD1FC0B37252C05383654ADD6445400DFAACDD247152C0C231AE8B73644540C4F4A45A386F52C07F20FD8A786745409B2546356F6B52C0434FEA2DCF61454093FFE417A76C52C0E8A33B5516594540786C0D42E77052C0BFE0081E784D4540F963E523CC7052C006911164BB4545404AB83D6A717252C02F33548B6B3D4540B640B7C9E37152C03435EDCFEA3A4540,2,36,New York,Albany,,36001,1,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000001F000000E9A33ECCB49752C039A09F1113CC444048DD7372049A52C09B1D54D18FC94440BDE8A87E779E52C0ACAB5291FDC044409213CE70C4AF52C0369EE181D6BF44406C74E7D398B052C05A0704879CB94440E3DC47144FB052C0459B6E090FB744400C8C1F38BDB252C0C7C17C8607B74440CDA94BDE4CB752C01804485E3CB94440677675414CB952C0E5B16CFCEAB84440B1029E0082B952C0F3ECAB591FBB44409C5D9F22AFBB52C033F4DA33FFBD444093DA41C631BE52C0841AC1B0E6BD4440E289E1E7F3C052C0A67CEB2A10C544406522FD079BC152C0E0740E2A6CC84440E07696AC78C452C0A793AD885FCD444043779A0CA3C452C0E39E6D6879CE4440205D7CE848C352C071FDE18793D1444058073C872FC452C0670F8CC57FDB4440723E4265A5C352C0205050C504DD4440D86C8DA4ECC352C0414B4CE497E244407F966DC937C652C0B3CC12A4B7E344409F82F26832C652C0351AC6E30AE6444050E8F2251CC552C00B70410336E8444099744EAA89C752C0C7E1586222EB44408CC4D6EAFBC752C0C76A0C02B2EC4440E054CB6D7DC952C0E69E71818AED44408D19901F7FB252C0BF62E809C10245401FEC0B4E2A9D52C0FE439EAB9AEF44401908C6E2E8A452C09885CA8462DF44409764498F4B9952C0888F09712AD24440E9A33ECCB49752C039A09F1113CC4440,3,36,New York,Sullivan,,36105,105,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000009000000364963A9287D52C0BF1C6C17A45E4440266F0421CC7852C06FDB03A1FA574440B21716BE487752C0CEE8F18017584440972C1BDC257652C030C1B3668853444077254C649B7A52C00D57E9E9C85044402D16DCDF4E7852C06D0416F08D4B44402F40232E428052C0C76425B2664A4440DD993431C68152C089332AC7D5514440364963A9287D52C0BF1C6C17A45E4440,4,36,New York,Kings,,36047,47,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000014000000F50C51AF7FB853C0077D669DDC82454063627AF83CBB53C00194713987884540C401C64DE9C353C0D8B9CEF1988B4540C939674E84C253C00C1644D0869245400A9C39B9FBC353C0A8D16AE854A24540F3ACDAE2BC9D53C03886217C9DAF4540A720FDD8D89D53C05DD709EBA390454072453017E29D53C06E21CF2C918B45406F4671781B9F53C00EDCC9ACE68A4540BB5DC47A63A053C09D917C8BFA8B4540E9972B5D9BA153C02D222E0B238B4540529FC99F9BA253C0CFA9C9A93B8C454094528C85A3A553C0521601A91B894540022DB10C6AA853C0E5214606988B4540B707E2926BAB53C0C13171C4278A45408A78AB5AD0AE53C03C27A281AB8A45402B27B11B75AF53C0AAC8A30184894540A5B1ADE7EDB453C03478007F42864540D567EC28FAB553C0699175FFEA824540F50C51AF7FB853C0077D669DDC824540,5,36,New York,Niagara,,36063,63,2012-06-15,2012-06-15
0106000020E61000000100000001030000000100000009000000321C8224190853C0F8F550813B344540E1864475481053C076F96601D7334540F1BD63B1E51053C0384AE90BCE4F4540BAC51B6EDE1053C0137FC5BFB95C4540CF977D8EC71153C0B5EB8EFB80634540549157B725F952C0EAC02393DC65454036FA8319D4F852C01B1BBE36245D4540EA5AC79E72F752C0838BC53DFA344540321C8224190853C0F8F550813B344540,6,36,New York,Cortland,,36023,23,2012-06-15,2012-06-15
0106000020E6100000010000000103000000010000000B00000083653B04DF7A52C01020D24EC2664440CCCC24A4137B52C07B111BAC48694440B7A8C381F27952C044D1C2A82F6C4440B3798420A27952C0F3674EA45D704440E323ED82087B52C06340C9C26971444060C5A2802C7A52C09AC5213DB27644406F938F789F7552C0A03DB5803F74444096394BF7C47452C0C27F3D834572444024381C32EC7152C0CF0ED4047F7144407948FA54F77252C030916EEC896A444083653B04DF7A52C01020D24EC2664440,7,36,New York,Bronx,,36005,5,2012-06-15,2012-06-15
