,date,state_name,state_fips_code,confirmed_cases,deaths
0,2020-03-15,Guam,66,3,0
1,2020-03-16,Guam,66,3,0
2,2020-03-17,Guam,66,3,0
3,2020-03-18,Guam,66,8,0
4,2020-03-19,Guam,66,12,0
5,2020-03-20,Guam,66,14,0
6,2020-03-21,Guam,66,15,0
7,2020-03-22,Guam,66,27,1
8,2020-03-23,Guam,66,29,1
9,2020-03-24,Guam,66,32,1
10,2020-03-25,Guam,66,32,1
11,2020-03-26,Guam,66,49,1
12,2020-03-27,Guam,66,53,1
13,2020-03-28,Guam,66,57,1
14,2020-03-29,Guam,66,58,1
15,2020-03-30,Guam,66,60,1
16,2020-03-31,Guam,66,139,2
17,2020-04-01,Guam,66,147,3
18,2020-04-02,Guam,66,152,3
19,2020-04-03,Guam,66,154,4
20,2020-04-04,Guam,66,223,4
21,2020-04-05,Guam,66,265,4
22,2020-04-06,Guam,66,266,4
23,2020-04-07,Guam,66,274,4
24,2020-04-08,Guam,66,409,4
25,2020-04-09,Guam,66,542,4
26,2020-04-10,Guam,66,577,4
27,2020-04-11,Guam,66,681,5
28,2020-04-12,Guam,66,716,5
29,2020-04-13,Guam,66,719,6
30,2020-04-14,Guam,66,721,6
31,2020-04-15,Guam,66,750,6
32,2020-04-16,Guam,66,790,6
33,2020-04-17,Guam,66,796,6
34,2020-04-18,Guam,66,805,6
35,2020-04-19,Guam,66,808,6
36,2020-04-20,Guam,66,811,6
37,2020-04-21,Guam,66,852,6
38,2020-04-22,Guam,66,911,6
39,2020-04-23,Guam,66,979,6
40,2020-04-24,Guam,66,997,6
41,2020-04-25,Guam,66,997,6
42,2020-04-26,Guam,66,997,6
43,2020-04-27,Guam,66,1113,6
44,2020-04-28,Guam,66,1114,6
45,2020-04-29,Guam,66,1114,6
46,2020-04-30,Guam,66,1115,6
47,2020-05-01,Guam,66,1115,6
48,2020-05-02,Guam,66,1117,6
49,2020-05-03,Guam,66,1118,6
50,2020-05-04,Guam,66,1118,6
51,2020-05-05,Guam,66,1118,6
52,2020-05-06,Guam,66,1118,6
53,2020-05-07,Guam,66,1118,6
54,2020-05-08,Guam,66,1120,6
55,2020-05-09,Guam,66,1120,6
56,2020-05-10,Guam,66,1120,6
57,2020-05-11,Guam,66,1120,6
58,2020-05-12,Guam,66,1121,6
59,2020-05-13,Guam,66,1121,6
60,2020-05-14,Guam,66,1121,6
61,2020-05-15,Guam,66,1123,6
62,2020-05-16,Guam,66,1123,6
63,2020-05-17,Guam,66,1123,6
64,2020-05-18,Guam,66,1123,6
65,2020-05-19,Guam,66,1123,6
66,2020-05-20,Guam,66,1134,6
67,2020-05-21,Guam,66,1134,6
68,2020-05-22,Guam,66,1134,6
69,2020-05-23,Guam,66,1134,6
70,2020-05-24,Guam,66,1135,6
71,2020-05-25,Guam,66,1135,6
72,2020-05-26,Guam,66,1139,6
73,2020-05-27,Guam,66,1140,6
74,2020-05-28,Guam,66,1141,6
75,2020-05-29,Guam,66,1141,6
76,2020-05-30,Guam,66,1141,6
77,2020-05-31,Guam,66,1144,6
78,2020-06-01,Guam,66,1144,6
79,2020-06-02,Guam,66,1146,6
80,2020-06-03,Guam,66,1146,6
81,2020-06-04,Guam,66,1148,6
82,2020-06-05,Guam,66,1148,6
83,2020-06-06,Guam,66,1148,6
84,2020-06-07,Guam,66,1148,6
85,2020-06-08,Guam,66,1149,6
86,2020-06-09,Guam,66,1149,6
87,2020-06-10,Guam,66,1149,6
88,2020-06-11,Guam,66,1152,6
89,2020-06-12,Guam,66,1153,6
90,2020-06-13,Guam,66,1154,6
91,2020-06-14,Guam,66,1154,6
92,2020-06-15,Guam,66,1155,6
93,2020-06-16,Guam,66,1155,6
94,2020-06-17,Guam,66,1157,6
95,2020-06-18,Guam,66,1162,6
96,2020-06-19,Guam,66,1169,6
97,2020-06-20,Guam,66,1191,6
98,2020-06-21,Guam,66,1191,6
99,2020-06-22,Guam,66,1191,6
100,2020-06-23,Guam,66,1194,6
