county_fips_code,county_name,never,rarely,sometimes,frequently,always
36001,Albany,0.006,0.012,0.052000000000000005,0.142,0.7879999999999999
36003,Allegany,0.062,0.015,0.027999999999999997,0.124,0.7709999999999999
36005,Bronx,0.043,0.013000000000000001,0.066,0.136,0.742
36007,Broome,0.044000000000000004,0.027999999999999997,0.051,0.066,0.812
36009,Cattaraugus,0.015,0.013000000000000001,0.024,0.156,0.7929999999999999
36011,Cayuga,0.0,0.033,0.07200000000000001,0.162,0.732
36013,Chautauqua,0.028999999999999998,0.024,0.038,0.20600000000000002,0.703
36015,Chemung,0.012,0.046,0.092,0.256,0.594
36017,Chenango,0.048,0.045,0.015,0.156,0.735
36019,Clinton,0.017,0.024,0.102,0.084,0.773
36021,Columbia,0.013999999999999999,0.004,0.028999999999999998,0.10400000000000001,0.848
36023,Cortland,0.001,0.062,0.015,0.11800000000000001,0.8029999999999999
36025,Delaware,0.057,0.053,0.034,0.11199999999999999,0.7440000000000001
36027,Dutchess,0.006999999999999999,0.009000000000000001,0.031,0.099,0.8540000000000001
36029,Erie,0.018000000000000002,0.013999999999999999,0.04,0.161,0.7659999999999999
36031,Essex,0.05,0.05,0.057,0.107,0.736
36033,Franklin,0.026000000000000002,0.027000000000000003,0.11699999999999999,0.09699999999999999,0.733
36035,Fulton,0.078,0.015,0.06,0.11800000000000001,0.7290000000000001
36037,Genesee,0.001,0.017,0.015,0.187,0.7809999999999999
36039,Greene,0.022000000000000002,0.013999999999999999,0.03,0.146,0.7879999999999999
36041,Hamilton,0.042,0.024,0.053,0.22899999999999998,0.653
36043,Herkimer,0.015,0.026000000000000002,0.042,0.158,0.758
36045,Jefferson,0.008,0.057999999999999996,0.038,0.11599999999999999,0.78
36047,Kings,0.035,0.034,0.057999999999999996,0.141,0.732
36049,Lewis,0.069,0.036000000000000004,0.02,0.11,0.765
36051,Livingston,0.011000000000000001,0.034,0.009000000000000001,0.111,0.835
36053,Madison,0.003,0.015,0.043,0.107,0.8320000000000001
36055,Monroe,0.018000000000000002,0.012,0.055999999999999994,0.129,0.785
36057,Montgomery,0.102,0.005,0.054000000000000006,0.09,0.7490000000000001
36059,Nassau,0.017,0.018000000000000002,0.043,0.142,0.779
36061,New York,0.02,0.016,0.04,0.121,0.8029999999999999
36063,Niagara,0.001,0.027999999999999997,0.037000000000000005,0.204,0.73
36065,Oneida,0.016,0.025,0.033,0.153,0.774
36067,Onondaga,0.019,0.008,0.054000000000000006,0.163,0.7559999999999999
36069,Ontario,0.001,0.012,0.031,0.107,0.8490000000000001
36071,Orange,0.023,0.008,0.042,0.18,0.746
36073,Orleans,0.001,0.033,0.059000000000000004,0.213,0.693
36075,Oswego,0.017,0.003,0.094,0.11900000000000001,0.7659999999999999
36077,Otsego,0.032,0.065,0.027000000000000003,0.096,0.779
36079,Putnam,0.003,0.018000000000000002,0.022000000000000002,0.105,0.852
36081,Queens,0.022000000000000002,0.023,0.068,0.136,0.7509999999999999
36083,Rensselaer,0.018000000000000002,0.018000000000000002,0.073,0.14,0.7509999999999999
36085,Richmond,0.033,0.015,0.046,0.17800000000000002,0.728
36087,Rockland,0.011000000000000001,0.018000000000000002,0.054000000000000006,0.195,0.722
36089,Saratoga,0.027000000000000003,0.028999999999999998,0.095,0.149,0.701
36091,Schenectady,0.02,0.012,0.062,0.156,0.7509999999999999
36093,Schoharie,0.04,0.006999999999999999,0.051,0.06,0.841
36095,Schuyler,0.006999999999999999,0.02,0.04,0.10800000000000001,0.825
36097,Seneca,0.01,0.009000000000000001,0.071,0.239,0.67
36099,St.Lawrence,0.001,0.012,0.042,0.08199999999999999,0.8640000000000001
36101,Steuben,0.036000000000000004,0.031,0.057,0.201,0.674
36103,Suffolk,0.04,0.019,0.053,0.106,0.782
36105,Sullivan,0.024,0.03,0.043,0.085,0.8170000000000001
36107,Tioga,0.019,0.011000000000000001,0.018000000000000002,0.114,0.8390000000000001
36109,Tompkins,0.012,0.01,0.046,0.098,0.833
36111,Ulster,0.013999999999999999,0.023,0.045,0.1,0.818
36113,Warren,0.026000000000000002,0.018000000000000002,0.10400000000000001,0.13,0.723
36115,Washington,0.026000000000000002,0.027000000000000003,0.135,0.138,0.6729999999999999
36117,Wayne,0.001,0.016,0.061,0.132,0.789
36119,Westchester,0.025,0.018000000000000002,0.044000000000000004,0.115,0.7979999999999999
36121,Wyoming,0.001,0.024,0.008,0.107,0.861
36123,Yates,0.0,0.006,0.023,0.087,0.884
