,country_name,alpha_3_code,region_name,region_code,date,school_closing,school_closing_flag,school_closing_notes,workplace_closing,workplace_closing_flag,workplace_closing_notes,cancel_public_events,cancel_public_events_flag,cancel_public_events_notes,restrictions_on_gatherings,restrictions_on_gatherings_flag,restrictions_on_gatherings_notes,close_public_transit,close_public_transit_flag,close_public_transit_notes,stay_at_home_requirements,stay_at_home_requirements_flag,stay_at_home_requirements_notes,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,restrictions_on_internal_movement_notes,international_travel_controls,international_travel_controls_notes,income_support,income_support_flag,income_support_notes,debt_contract_relief,debt_contract_relief_notes,fiscal_measures,fiscal_measures_notes,international_support,international_support_notes,public_information_campaigns,public_information_campaigns_flag,public_information_campaigns_notes,testing_policy,testing_policy_notes,contact_tracing,contact_tracing_notes,emergency_healthcare_investment,emergency_healthcare_investment_notes,vaccine_investment,vaccine_investment_notes,misc_wildcard,misc_wildcard_notes,confirmed_cases,deaths,stringency_index
0,United States,USA,New York,US_NY,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,443640.0,33023.0,
1,United States,USA,New York,US_NY,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,444365.0,33023.0,
2,United States,USA,New York,US_NY,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,444948.0,33030.0,
3,United States,USA,New York,US_NY,2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,445714.0,33038.0,
4,United States,USA,New York,US_NY,2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,446366.0,33042.0,
5,United States,USA,New York,US_NY,2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,"The state's policy of two weeks' paid leave is still in effect, as of 23rd September.     Source: http://web.archive.org/web/20200923194409/https://paidfamilyleave.ny.gov/COVID19",,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,447262.0,33070.0,
6,United States,USA,New York,US_NY,2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,448052.0,33085.0,
7,United States,USA,New York,US_NY,2020-09-19,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,449038.0,33081.0,
8,United States,USA,New York,US_NY,2020-09-20,,,,,,,,,,,,,,,,,,,,,,,,2.00,1,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,,,,449900.0,33087.0,
9,United States,USA,New York,US_NY,2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000.0,"Governor Andrew M. Cuomo announced on 30th October that an additional $10 million is being dedicated to the Nourish New York program, bringing the total funding dedicated to the program to $35 million. The funding will allow New York's emergency food providers to continue to purchase surplus products from New York farmers and dairy manufacturers and deliver it to New York families in need through the end of the year.     Source: http://web.archive.org/web/20201105185512/https://www.governor.ny.gov/news/governor-cuomo-announces-emergency-food-providers-continue-deliver-new-york-agricultural",0.0,,,,,,,,,0.0,,0.0,,,,505431.0,33506.0,
